Orchestration architecture,Orchestration algorithm,Edge devices count,Tasks execution delay (s),Average execution delay (s),Tasks waiting time (s),Average waiting time (s),Generated tasks,Tasks successfully executed,Task not executed (No resources available or long waiting time),Tasks failed (delay),Tasks failed (device dead),Tasks failed (mobility),Tasks not generated due to the death of devices,Total tasks executed (Cloud),Tasks successfully executed (Cloud),Total tasks executed (Edge),Tasks successfully executed (Edge),Total tasks executed (Mist),Tasks successfully executed (Mist),Network usage (s),Wan usage (s),Lan usage (s), Total network traffic (MBytes), Containers wan usage (s), Containers lan usage (s),Average bandwidth per task (Mbps),Average VM CPU usage (%),Average VM CPU usage (Cloud) (%),Average VM CPU usage (Edge) (%),Average VM CPU usage (Mist) (%),Energy consumption (W),Average energy consumption (W/Data center),Cloud energy consumption (W),Average Cloud energy consumption (W/Data center),Edge energy consumption (W),Average Edge energy consumption (W/Data center),Mist energy consumption (W),Average Mist energy consumption (W/Device),Dead devices count,Average remaining power (Wh),Average remaining power (%), First edge device death time (s),List of remaining power (%) (only battery powered devices / 0 = dead),List of the time when each device died (s)
ALL,FUZZY_LOGIC,100,1233.8165,1.9584,151.2184,0.24,700,594,0,70,0,36,0,0,0,346,300,354,294,1721.0,0.0,1721.0,1653.2999999999904,0.0,0.0,76.1768940139418,15.6462,0,51.0577,15.3168,3.9679,0.0389,0,0,0.084,0.084,3.8839,0.0388,0,33.7185,99.9389,-1.0,[99.9940845037037- 99.97664924444445- 99.98954631111111- 99.90301635555556- 99.93957564444443- 99.96377546666668- 99.91272634074073- 99.99651508148149- 99.94194927407406- 99.4241509925926- 99.98065759999999- 99.98298032592592- 99.97971881481482- 99.42396462222223- 99.9956709925926- 99.98577309629628- 99.6840477037037- 99.93939828148149- 99.9978567111111- 99.99431822222222- 99.99617635555556- 99.92642216296296- 99.98869671111112- 99.42204207407407- 99.68353374814816- 99.99603768888888- 99.984088- 99.99458654814815- 99.9963245037037- 99.95024065185186- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
ALL,FUZZY_LOGIC,200,1447.2505,2.0441,11659.7878,16.4686,1400,644,0,708,0,48,0,0,0,1085,403,315,241,14415.0,0.0,14415.0,5225.94999999997,0.0,0.0,67.22863221528783,3.7838,0,81.25,3.1698,12.9217,0.064,0,0,0.2805,0.2805,12.6412,0.0632,0,33.6847,99.7585,-1.0,[99.98389854814815- 99.99111632592593- 99.75288616296297- 99.72262251851852- 97.8741505185185- 99.99111632592593- 99.98561386666667- 97.85655911111111- 99.96089517037038- 99.99078874074073- 97.86940325925927- 99.97591999999999- 98.37894334814814- 99.98687105185185- 99.76547016296297- 98.12861517037035- 99.990848- 99.97584462222224- 99.98943762962962- 98.39060882962963- 99.73164284444444- 99.99015205925927- 99.99019282962962- 99.99021131851852- 99.9426605037037- 99.99021131851852- 99.99067022222222- 99.98853262222222- 98.39057919999999- 98.13205208888888- 99.990848- 99.95887875555555- 99.73199840000001- 99.73113428148149- 99.98871306666666- 99.99081837037038- 98.39107762962963- 99.97685866666666- 99.72852693333334- 99.98312503703704- 99.96714868148149- 99.99078874074073- 99.9898853925926- 99.98943762962962- 98.13144562962964- 99.96562927407406- 99.7681432888889- 99.7688888888889- 99.9869946074074- 99.73077860740742- 99.97945084444444- 99.9913253925926- 98.09696533333333- 99.69463383703703- 99.99062945185186- 99.99062945185186- 99.99159371851852- 99.69463383703703- 99.98632829629629- 99.97445374814814- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
ALL,FUZZY_LOGIC,300,1810.6485,2.0096,12147.5251,13.4823,2100,835,0,1132,0,133,0,0,0,1488,392,612,443,28236.0,0.0,28236.0,6578.099999999948,0.0,0.0,79.94459907495482,3.2665,0,84.5521,2.833,17.8529,0.0591,0,0,0.3901,0.3901,17.4627,0.0582,0,33.6834,99.7515,-1.0,[99.98912954074075- 98.16689321481482- 99.74543768888887- 99.89927063703703- 99.90886204444445- 98.41155205925925- 99.98510684444446- 99.95122862222223- 99.9654709925926- 99.95127674074074- 98.16497066666666- 99.76544053333333- 99.97677925925925- 99.98986524444445- 98.62504397037037- 99.97852734814815- 99.75440053333332- 99.8045533037037- 99.99181226666667- 99.97657517037037- 99.9656208- 99.96784302222224- 99.98983561481481- 98.15638133333333- 99.96216272592594- 98.63308041481481- 99.81757463703703- 99.68922915555555- 99.99003454814816- 99.97713647407407- 99.71769102222221- 99.98801813333334- 99.99283579259259- 99.99152545185184- 99.9872578962963- 99.98534554074074- 99.97963028148149- 99.76847075555555- 99.9881467851852- 98.40241552592592- 99.72638702222223- 99.73143223703704- 98.39730885925925- 99.72638702222223- 99.99015205925927- 99.71911158518519- 99.9892581925926- 99.97842731851853- 99.76808242962964- 99.98752622222223- 98.66064468148147- 98.4000574222222- 99.99006317037038- 99.99154394074075- 99.96606690370369- 99.97854583703705- 98.15608337777779- 99.72888077037037- 99.99039075555555- 99.76579774814815- 99.99117558518518- 99.76796877037037- 99.99087928888889- 99.96674334814816- 99.98477925925926- 98.41175253333334- 98.39990068148148- 99.98697611851851- 99.99036112592593- 98.1562245925926- 99.78816954074074- 98.40311585185185- 99.99240817777779- 99.75600047407406- 99.97881416296295- 99.99021131851852- 99.99213037037038- 98.17891591111112- 99.99201185185184- 98.41365736296297- 99.73128397037036- 99.73202962962962- 99.99159371851852- 99.98745084444444- 99.76870791111111- 99.98955614814815- 98.40241552592592- 99.98627318518518- 99.99201185185184- 98.41422222222222- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
ALL,INCREASE_LIFETIME,100,284.8772,0.5468,56.2203,0.1079,700,438,0,262,0,0,0,423,197,269,233,8,8,35131.0,33663.99999999999,35131.0,2169.1499999999915,0.0,0.0,12.060530190212699,0.3745,3.9826,12.8438,0.1065,7.9695,0.0781,0.1077,0.1077,0.0723,0.0723,7.7895,0.0779,0,33.6793,99.7298,-1.0,[99.9867851851852- 99.9867851851852- 99.9867851851852- 99.62026666666667- 97.42814814814814- 99.9867851851852- 99.9867851851852- 99.98801777777777- 99.9867851851852- 97.46370370370371- 99.62038518518519- 99.9867851851852- 99.9867851851852- 99.9867851851852- 99.9867851851852- 97.4162962962963- 99.62062222222222- 99.98684444444444- 99.98690370370369- 99.62062222222222- 99.9867851851852- 99.99048296296297- 99.62074074074074- 99.98690370370369- 99.62038518518519- 99.62014814814815- 99.6205037037037- 99.98690370370369- 99.98684444444444- 97.45185185185186- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
ALL,INCREASE_LIFETIME,200,809.9514,1.1218,62.176,0.0861,1400,608,0,777,0,15,0,853,167,444,362,103,79,126345.99999999993,122254.99999999991,126345.99999999993,4428.699999999969,0.0,0.0,24.437707648353047,0.6565,4.2279,13.1883,0.5223,14.6991,0.0728,0.1962,0.1962,0.1322,0.1322,14.3708,0.0719,0,33.675,99.7074,-1.0,[99.98696296296298- 99.98684444444444- 97.40444444444444- 99.98696296296298- 97.47555555555556- 99.6581925925926- 98.20325925925926- 99.98819555555555- 97.45185185185186- 97.71022222222223- 99.98702222222222- 99.98936888888888- 99.98708148148148- 97.39259259259258- 99.98690370370369- 99.69434074074074- 97.67466666666667- 99.9881362962963- 99.62109629629632- 99.98696296296298- 99.98684444444444- 99.98936888888888- 99.98714074074074- 97.65096296296296- 97.66281481481481- 99.98696296296298- 99.99189333333334- 99.98942814814815- 99.98708148148148- 99.98825481481481- 99.69457777777778- 99.98960592592593- 99.99054222222222- 99.98714074074074- 99.98708148148148- 98.42607407407407- 99.98714074074074- 99.98708148148148- 99.98702222222222- 99.98702222222222- 99.98942814814815- 99.99077925925927- 99.6205037037037- 99.62085925925926- 99.99312592592592- 97.66281481481481- 99.62062222222222- 99.98954666666666- 99.98948740740741- 99.69481481481482- 99.98708148148148- 99.62133333333333- 99.99189333333334- 99.98843259259259- 99.98714074074074- 99.98942814814815- 99.98714074074074- 99.98696296296298- 99.65736296296296- 99.98948740740741- 99.99951696682123- 99.99951696682123- 100.0- 100.0- 99.99805798195479- 100.0- 100.0- 100.0- 100.0- 99.99951696682123- 100.0- 100.0- 100.0- 100.0- 99.9990289909774- 99.99951696682123- 100.0- 100.0- 100.0- 99.99951696682123- 99.9987924170531- 100.0- 99.99951696682123- 100.0- 99.98799651317445- 100.0- 99.9990289909774- 100.0- 99.998022933966- 100.0- 100.0- 100.0- 99.99805798195479- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0- 100.0],[]
ALL,INCREASE_LIFETIME,300,1212.6295,1.2527,52.2564,0.054,2100,855,0,1173,0,72,0,1107,118,508,366,485,371,237987.9999999969,229880.99999999677,237987.9999999969,6719.750000000014,0.0,0.0,75.67723042464895,0.7047,4.29,13.1728,0.6155,20.1906,0.0669,0.2657,0.2657,0.1793,0.1793,19.7457,0.0658,0,33.671,99.6883,-1.0,[99.98942814814815- 99.99077925925927- 98.3905185185185- 99.99306666666666- 99.99066074074074- 99.98714074074074- 98.41422222222222- 99.9919525925926- 99.99077925925927- 99.99077925925927- 97.44- 99.98849185185185- 99.98954666666666- 99.76877037037036- 99.62109629629632- 99.84272592592593- 99.98948740740741- 99.98837333333334- 97.71022222222223- 99.9919525925926- 99.99435851851852- 98.16770370370371- 99.9920711111111- 97.68651851851853- 99.99576888888889- 97.9448888888889- 99.99066074074074- 98.41422222222222- 99.99072- 99.9919525925926- 99.73191111111112- 99.69481481481482- 99.98954666666666- 99.98948740740741- 99.99083851851852- 97.42814814814814- 99.98719999999999- 99.73191111111112- 99.62097777777778- 99.99072- 99.99435851851852- 99.99688296296296- 97.9211851851852- 99.99201185185184- 99.9933037037037- 97.71022222222223- 98.6962962962963- 99.99312592592592- 99.99077925925927- 97.93303703703704- 99.98843259259259- 99.98708148148148- 98.90725925925926- 99.99072- 99.99318518518518- 99.65795555555555- 99.99072- 99.98843259259259- 99.98843259259259- 99.98831407407408- 99.99077925925927- 97.42814814814814- 99.62097777777778- 99.99066074074074- 99.98954666666666- 99.69481481481482- 97.4162962962963- 99.76877037037036- 99.69493333333332- 99.99072- 99.99077925925927- 99.99077925925927- 99.99201185185184- 99.69481481481482- 97.6391111111111- 99.98725925925926- 99.73155555555554- 99.73167407407408- 99.98948740740741- 99.9930074074074- 99.62109629629632- 99.62109629629632- 97.90933333333334- 99.80551111111112- 99.98714074074074- 98.44977777777778- 99.73191111111112- 99.99083851851852- 97.95674074074073- 99.9920711111111- 99.97922260864875- 99.996070805924- 99.9987924170531- 99.98997357920847- 99.99950708149106- 99.99974859808044- 99.99877758905784- 99.99276820698084- 99.99903393364248- 99.98972217728891- 99.99780658003523- 99.99903393364248- 100.0- 99.99951696682123- 99.99926556490169- 99.99999011466983- 99.99974859808044- 99.99927545023186- 99.99806292461987- 99.99179719795823- 99.98350632661132- 99.9997034400949- 99.98973206261908- 99.99709191559725- 99.99830938387433- 99.99685534167295- 99.99975848341063- 99.99999011466983- 99.99999011466983- 99.99999011466983- 99.98423581904453- 99.98423581904453- 99.99903393364248- 99.99975848341063- 99.99830938387433- 99.9990289909774- 100.0- 99.9987924170531- 99.99927545023186- 99.98706549480572- 99.99498678960423- 99.99927545023186- 99.9987324310723- 99.99753990078723- 99.99806292461987- 99.99975848341063- 100.0- 99.96992073762536- 99.99510990689816- 99.99927545023186- 99.99999011466983- 99.99975848341063- 100.0- 99.99849091448291- 99.98423581904453- 99.99782635069556- 99.99950708149106- 100.0- 100.0- 99.99611102124447],[]
